Cód,Materia,Primer llamado,Hora
10.01,Proyecto Final de Ingeniería Industrial,"lunes, 22 de febrero de 2027",19:00
10.02,Gestión Ambiental,"jueves, 18 de febrero de 2027",19:00
10.04,Plantas Industriales,"miércoles, 17 de febrero de 2027",19:00
10.07,Creatividad,"jueves, 18 de febrero de 2027",14:00
10.08,Energías Renovables,"miércoles, 10 de febrero de 2027",19:00
10.09,Formación para Emprendedores,"lunes, 22 de febrero de 2027",18:00
10.12,Energías Convencionales,"miércoles, 10 de febrero de 2027",16:00
10.15,Agroindustria,"miércoles, 3 de febrero de 2027",18:00
10.16,Machine Learning para Negocios,"jueves, 4 de febrero de 2027",16:00
10.23,Agroindustria II,"miércoles, 10 de febrero de 2027",16:00
10.24,Economía de la transición energética,"jueves, 18 de febrero de 2027",19:00
11.10,Organización de la Producción I,"jueves, 4 de febrero de 2027",19:00
11.14,Diseño de Producto,"miércoles, 10 de febrero de 2027",16:00
11.15,Organización Industrial,"jueves, 18 de febrero de 2027",16:00
11.16,Materiales y Procesos,"martes, 16 de febrero de 2027",19:00
11.19,Prototipado e Impresión 3D,"jueves, 18 de febrero de 2027",16:00
11.20,Supply Chain,"viernes, 12 de febrero de 2027",18:00
11.28,Sistemas Complejos,"lunes, 1 de febrero de 2027",15:00
11.39,Marketing,"miércoles, 10 de febrero de 2027",13:00
11.46,Planeamiento Estratégico,"miércoles, 17 de febrero de 2027",18:00
11.51,Investigación Operativa,"jueves, 11 de febrero de 2027",15:00
11.59,Logística,"viernes, 19 de febrero de 2027",19:00
11.63,Simulación,"martes, 23 de febrero de 2027",19:00
11.67,Estadística Aplicada,"jueves, 18 de febrero de 2027",10:00
11.73,Teoría de la Decisión,"miércoles, 10 de febrero de 2027",19:00
11.75,Tecnologías y Procesos de Producción,"lunes, 22 de febrero de 2027",16:00
11.76,Gestión de Calidad,"jueves, 11 de febrero de 2027",19:00
11.83,Gestión de Operaciones,"martes, 16 de febrero de 2027",12:00
11.84,Gestión de Proyectos,"lunes, 15 de febrero de 2027",15:00
11.85,Toma de Decisiones,"viernes, 19 de febrero de 2027",13:00
11.86,Investigación de Operaciones I,"jueves, 11 de febrero de 2027",19:00
11.87,Investigación de Operaciones II,"jueves, 11 de febrero de 2027",19:00
11.89,Formulación y Evaluación de Proyectos,"miércoles, 17 de febrero de 2027",15:00
12.09,Química,"viernes, 5 de febrero de 2027",8:00
12.11,Operaciones Unitarias I,"miércoles, 17 de febrero de 2027",19:00
12.12,Operaciones Unitarias II,"jueves, 18 de febrero de 2027",19:00
12.13,Operaciones Unitarias III,"viernes, 19 de febrero de 2027",13:00
12.19,Química Analítica,"lunes, 22 de febrero de 2027",15:00
12.20,Química-Física,"miércoles, 17 de febrero de 2027",12:00
12.24,Ingenieria de Reacciones y Reactores I,"viernes, 19 de febrero de 2027",19:00
12.25,Ingeniería de Reacciones y Reactores II,"lunes, 15 de febrero de 2027",11:00
12.26,Termodinámica,"miércoles, 17 de febrero de 2027",9:00
12.27,Simulación de Procesos,"lunes, 22 de febrero de 2027",19:00
12.33,Química Orgánica II,"viernes, 12 de febrero de 2027",8:00
12.34,Química Orgánica para Petroleo,"miércoles, 10 de febrero de 2027",8:00
12.36,Química de Macromoléculas,"martes, 16 de febrero de 2027",13:00
