codigo,nombre,abreviacion_propuesta,correccion,nota
31.08,Sistemas de Representación,SR,,
72.03,Introducción a la Informática,Intro Info,,
93.26,Análisis Matemático I,AM1,,
93.58,Álgebra,Álgebra,,
94.24,Metodología del Aprendizaje,MdA,,
72.31,Programación Imperativa,PI,,
93.28,Análisis Matemático II,AM2,,
93.41,Física I,F1,,
93.59,Matemática Discreta,MD,,
12.09,Química,Química,,
72.32,Diseño y Procesamiento de Documentos XML,XML,,
72.33,Programación Orientada a Objetos,POO,,
93.35,Lógica Computacional,Lógica,,
93.43,Física III,F3,,
72.08,Arquitectura de Computadoras,Arqui,,
72.34,Estructura de Datos y Algoritmos,EDA,,
93.24,Probabilidad y Estadística,PyE,,
93.42,Física II,F2,,
72.11,Sistemas Operativos,SO,,
72.35,Ingenieria de Software I,IS1,,
72.36,Interacción Hombre-Computadora (HCI),HCI,,
72.37,Base de Datos I,BD1,,
72.07,Protocolos de Comunicación,Protos,,
72.38,Proyecto de Aplicaciones Web,PAW,,
72.39,"Autómatas, Teoría de Lenguajes y Compiladores",Autómatas,,
93.07,Métodos Numéricos,MN,,
94.21,Formación General I,FG1,,
94.51,Inglés I,Inglés I,,
61.23,Economía para Ingenieros,Economía,,
61.32,Derecho para Ingenieros,Derecho,,
72.40,Ingenieria del Software II,IS2,,
72.41,Base de Datos II,BD2,,
72.42,Programación de Objetos Distribuidos,POD,,
93.75,Métodos Numéricos Avanzados,MNA,,
72.25,Simulación de Sistemas,Simulación,,
72.27,Sistemas de Inteligencia Artificial,SIA,,
72.43,Gestión de Proyectos Informáticos,GPI,,
72.44,Criptografía y Seguridad,Cripto,,
12.83,Seguridad Ocupacional y Ambiental,SOA,,
72.20,Redes de Información,Redes,,
72.45,Proyecto Final,PF,,
72.98,Práctica Laboral,Práctica Laboral,,
94.23,Formación General III,FG3,,
94.52,Inglés II,Inglés II,,
10.07,Creatividad,Creatividad,,
10.09,Formación para Emprendedores,Emprendedores,,
11.36,Innovación y Competitividad,Innovación,,
11.83,Gestión de Operaciones,Operaciones,,
16.04,Neurociencias y Desarrollo Productivo,Neuro Productivo,,
16.50,Introducción a la Bioinformática,Bioinfo,,
16.57,Robótica Bioinspirada,Robótica Bio,,
16.68,Señales y Sistemas,Señales,,
16.82,Neurociencia Computacional,Neuro Comp,,
16.95,Startups basadas en ciencia,Startups,,
22.09,Fundamentos Electrónicos de la Informática,Electrónica,,
22.48,Procesamiento de Imágenes,PDI,,
23.15,Realidad Virtual,RV,,
25.04,Computación Cuántica,Cuántica,,
25.27,Sistemas Embebidos,Embebidos (25.27),,"conflicto con 72.66: no está en la lista vigente del plan, lleva el código"
48.02,AI: Data Management Course & Digital Transformation,AI Data Mgmt,,
61.08,Derecho Digital,Derecho Digital,,
61.11,Derecho Laboral y Seguridad Social en la Empresa,Derecho Laboral,,
61.13,Práctica Contractual,Contratos,,
61.16,Introducción a las Finanzas,Intro Finanzas,,
61.50,Finanzas de la Empresa,Finanzas,,
68.99,Introducción a la Ciencia de Ciudades,Ciudades,,
71.48,Introducción a la realidad aumentada,RA (71.48),,"conflicto con 81.74: no está en la lista vigente del plan, lleva el código"
72.02,Organización Básica de la Computadora,OBC,,
72.18,Programación Funcional,Funcional (72.18),,"conflicto con 72.60: no está en la lista vigente del plan, lleva el código"
72.22,Sistemas Tolerantes a Fallas,STF (72.22),,"conflicto con 72.49: ambas vigentes, las dos llevan el código"
72.23,Diseño y Construcción de Compiladores,Compiladores,,
72.28,Topología de Internet: Análisis y Modelado,Topología Internet,,
72.29,Tipos para Lenguajes de Programación,Tipos,,
72.46,Robótica Basada en Comportamiento,Robótica Comp,,
72.49,Sistemas Tolerantes a Fallas,STF (72.49),,"conflicto con 72.22: ambas vigentes, las dos llevan el código"
72.50,Introducción al Desarrollo de Videojuegos,Intro Videojuegos,,
72.51,Tecnologías para Web 2.0 y Redes Sociales,Web 2.0,,
72.52,Análisis y Tratamiento de Imágenes,ATI,,
72.53,Visión Computacional 3D,Visión 3D,,
72.54,OLAP y Explotación de Datos,OLAP,,
72.55,Ontologías en la Web,Ontologías,,
72.56,Automatización e Integración de Sistemas de Información,Automatización SI,,
72.57,Sistemas Embebidos,Embebidos (72.57),,"conflicto con 72.66: no está en la lista vigente del plan, lleva el código"
72.58,Computación Gráfica,CG,,
72.59,Sistemas de Inteligencia Artificial II,SIA2,,
72.60,Programación Funcional,Funcional,,"conflicto resuelto: es la vigente del plan, conserva «Funcional»"
72.61,Taller de Diseño de Videojuegos,Taller Videojuegos,,
72.64,Cloud Computing,Cloud (72.64),,"conflicto con 82.08: no está en la lista vigente del plan, lleva el código"
72.65,Desarrollo de Videojuegos 2D en iPhone OS,Videojuegos iOS,,
72.66,Sistemas Embebidos,Embebidos,,"conflicto resuelto: es la vigente del plan, conserva «Embebidos»"
72.67,Robótica Cinemática Computacional,Robótica Cinemática,,
72.68,Arte y Ciencia Interactivos,Arte Interactivo,,
72.69,Seguridad de Software basada en Flujo de Información,Seg. Flujo Info,,
72.70,Modelos e Imágenes Fractales,Fractales,,
72.71,Integración de Sistemas de Información,Integración SI,,
